Dataset,Mixture 1,Mixture 2,Experimental Values
Exp1,1,3,38.47727273
Exp1,1,8,44.84090909
Exp1,1,11,31.02272727
Exp1,2,5,41
Exp1,2,7,65.18181818
Exp1,2,8,50.20454545
Exp1,3,2,46.65909091
Exp1,3,5,52.75
Exp1,4,3,42.75
Exp1,4,9,45.20454545
Exp1,5,7,40.43181818
Exp1,5,10,41.25
Exp1,5,14,46.97727273
Exp1,6,2,16.65909091
Exp1,6,3,28.63636364
Exp1,6,5,27.79545455
Exp1,6,10,37.06818182
Exp1,7,1,29.90909091
Exp1,7,4,46.93181818
Exp1,8,6,20.18181818
Exp1,8,12,37.18181818
Exp1,8,11,46.68181818
Exp1,8,10,37.47727273
Exp1,9,2,58.47727273
Exp1,9,6,22.84090909
Exp1,9,8,47.90909091
Exp1,9,13,44.43181818
Exp1,12,1,32.40909091
Exp1,12,3,38.68181818
Exp1,12,5,35.29545455
Exp1,11,2,54.63636364
Exp1,11,4,36.90909091
Exp1,11,12,26.22727273
Exp1,11,14,53.54545455
Exp1,10,9,41.40909091
Exp1,10,11,35.75
Exp1,13,1,32.04545455
Exp1,13,5,32.34090909
Exp1,13,7,61.29545455
Exp1,13,12,32.52272727
Exp1,13,10,30.88636364
Exp1,14,1,38.97727273
Exp1,14,3,46.88636364
Exp1,14,4,50.15909091
Exp1,14,6,19.65909091
Exp1,14,12,34.77272727
Exp1,1,1,89.13636364
Exp1,2,2,87.02272727
Exp1,1,2,28.04545455
Exp1,1,4,22.09090909
Exp1,1,5,59.04545455
Exp1,1,6,25.45454545
Exp1,1,9,35.22727273
Exp1,1,10,35.65909091
Exp1,2,4,60.59090909
Exp1,2,12,25.40909091
Exp1,2,10,29.65909091
Exp1,2,13,57.77272727
Exp1,2,14,60.5
Exp1,3,7,46.40909091
Exp1,3,8,51.43181818
Exp1,3,9,49.25
Exp1,3,11,49.56818182
Exp1,3,10,35.04545455
Exp1,3,13,60.36363636
Exp1,4,5,33.15909091
Exp1,4,6,20.72727273
Exp1,4,8,48.68181818
Exp1,4,12,33.25
Exp1,4,10,34.97727273
Exp1,4,13,43.02272727
Exp1,5,8,42.63636364
Exp1,5,9,37.43181818
Exp1,5,11,31.5
Exp1,6,7,16.27272727
Exp1,6,12,36.47727273
Exp1,6,11,15.04545455
Exp1,6,13,18.11363636
Exp1,7,8,56.31818182
Exp1,7,9,52.20454545
Exp1,7,12,31.59090909
Exp1,7,11,66.70454545
Exp1,7,10,33.18181818
Exp1,7,14,56.65909091
Exp1,8,13,56.68181818
Exp1,8,14,57.29545455
Exp1,9,12,26.31818182
Exp1,9,11,45.34090909
Exp1,9,14,77.25
Exp1,12,10,69.38636364
Exp1,11,13,72.40909091
Exp1,10,14,33.25
Exp1,13,14,50
Exp1,14,14,82.54545455
Exp1,13,13,74.45454545
Exp2,1,3,33.46
Exp2,1,8,35.6
Exp2,1,11,40.95
Exp2,2,5,25.09
Exp2,2,7,26.96
Exp2,2,8,37.95
Exp2,3,2,32.31
Exp2,3,5,56.78
Exp2,4,3,32.09
Exp2,4,9,32.57
Exp2,5,7,61.33
Exp2,5,10,51.96
Exp2,5,14,42.8
Exp2,6,2,51.83
Exp2,6,3,39.81
Exp2,6,5,32.72
Exp2,6,10,43.3
Exp2,7,1,33.56
Exp2,7,4,31.9
Exp2,8,6,45.06
Exp2,8,12,42.63
Exp2,8,11,56.58
Exp2,8,10,49.82
Exp2,9,2,62.48
Exp2,9,6,51.02
Exp2,9,8,52.02
Exp2,9,13,40.97
Exp2,12,1,23.82
Exp2,12,3,47.08
Exp2,12,5,47.65
Exp2,11,2,28.43
Exp2,11,4,29.37
Exp2,11,12,52.27
Exp2,11,14,54.5
Exp2,10,9,34.61
Exp2,10,11,52.61
Exp2,13,1,24.58
Exp2,13,5,67.98
Exp2,13,7,61.91
Exp2,13,12,62.72
Exp2,13,10,50.15
Exp2,14,1,33.72
Exp2,14,3,43.33
Exp2,14,4,29.38
Exp2,14,6,46.25
Exp2,14,12,48.66
Exp2,1,1,86.35
Exp2,2,2,88.77
Exp2,11,11,87.1
Exp2,12,12,86.03
Exp2,1,2,36.36
Exp2,1,4,72.32
Exp2,1,5,37.87
Exp2,1,6,53.61
Exp2,1,9,42.08
Exp2,1,10,32.74
Exp2,2,4,32.69
Exp2,2,12,19.41
Exp2,2,10,22.75
Exp2,2,13,17.71
Exp2,2,14,31.67
Exp2,3,7,61.45
Exp2,3,8,53.04
Exp2,3,9,48.17
Exp2,3,11,53.93
Exp2,3,10,44.81
Exp2,3,13,55.33
Exp2,4,5,27.14
Exp2,4,6,34.71
Exp2,4,8,34.58
Exp2,4,12,16.73
Exp2,4,10,28.72
Exp2,4,13,24.27
Exp2,5,8,54.21
Exp2,5,9,32.66
Exp2,5,11,77.27
Exp2,6,7,28.27
Exp2,6,12,30.6
Exp2,6,11,30.86
Exp2,6,13,28.5
Exp2,7,8,80.55
Exp2,7,9,47.18
Exp2,7,12,51.43
Exp2,7,11,59.58
Exp2,7,10,51.59
Exp2,7,14,49.96
Exp2,8,13,49.31
Exp2,8,14,47.4
Exp2,9,12,27.27
Exp2,9,11,37.15
Exp2,9,14,41.44
Exp2,12,10,61.63
Exp2,11,13,65.32
Exp2,10,14,71.11
Exp2,13,14,46.04
Exp2,14,14,82.22
Exp2,13,13,87.33
Exp2,3,3,89.02
Exp2,4,4,88.41
Exp2,7,7,89.5
Exp6,201,201,64
Exp6,201,211,67
Exp6,202,202,80
Exp6,202,212,49
Exp6,203,203,78
Exp6,203,213,64.64646
Exp6,204,204,64
Exp6,204,214,56.435646
Exp6,205,205,70
Exp6,205,215,60.000004
Exp6,206,206,72
Exp6,206,216,60.000004
Exp6,207,207,91.83673
Exp6,207,217,61.38614
Exp6,208,208,92
Exp6,208,218,62
Exp6,211,211,74
Exp6,212,212,91.83673
Exp6,213,213,78
Exp6,214,214,80
Exp6,215,215,78.43137
Exp6,216,216,86
Exp6,217,217,54.000004
Exp6,218,218,82
Exp6,221,221,72
Exp6,221,231,70
Exp6,222,222,90
Exp6,222,232,58
Exp6,223,223,66
Exp6,223,233,34.343433
Exp6,224,224,68
Exp6,224,234,48
Exp6,225,225,70
Exp6,225,235,45
Exp6,226,226,76
Exp6,226,236,54.545456
Exp6,227,227,72
Exp6,227,237,61
Exp6,228,228,68
Exp6,228,238,57
Exp6,231,231,80
Exp6,232,232,74
Exp6,233,233,72
Exp6,234,234,86
Exp6,235,235,65.30612
Exp6,236,236,74
Exp6,237,237,70
Exp6,238,238,82
Exp6,241,241,72
Exp6,241,251,65
Exp6,242,242,82
Exp6,242,252,66
Exp6,243,243,66
Exp6,243,253,47
Exp6,244,244,76
Exp6,244,254,52
Exp6,245,245,64
Exp6,245,255,50
Exp6,246,246,76
Exp6,246,256,52.999996
Exp6,247,247,86
Exp6,247,257,55.555557
Exp6,248,248,64
Exp6,248,258,58
Exp6,251,251,80
Exp6,252,252,92
Exp6,253,253,66
Exp6,254,254,74
Exp6,255,255,72
Exp6,256,256,88
Exp6,257,257,54.000004
Exp6,258,258,66
Exp6,261,261,62
Exp6,261,271,72
Exp6,262,262,88
Exp6,262,272,70
Exp6,263,263,82.35294
Exp6,263,273,80
Exp6,264,264,76
Exp6,264,274,71.28713
Exp6,265,265,64
Exp6,265,275,65
Exp6,266,266,59.183674
Exp6,266,276,76.237625
Exp6,267,267,63.265305
Exp6,267,277,67
Exp6,268,268,88
Exp6,268,278,68
Exp6,271,271,70
Exp6,272,272,69.38776
Exp6,273,273,62
Exp6,274,274,82
Exp6,275,275,66
Exp6,276,276,80
Exp6,277,277,72
Exp6,278,278,86
Exp6,281,281,80
Exp6,281,291,65
Exp6,282,282,66
Exp6,282,292,82
Exp6,283,283,70
Exp6,283,293,93
Exp6,284,284,86
Exp6,284,294,66
Exp6,285,285,74.5098
Exp6,285,295,66.33663
Exp6,286,286,76
Exp6,286,296,83
Exp6,287,287,86
Exp6,287,297,77
Exp6,288,288,66
Exp6,288,298,49
Exp6,291,291,72.54902
Exp6,292,292,64
Exp6,293,293,80
Exp6,294,294,78
Exp6,295,295,68
Exp6,296,296,76
Exp6,297,297,70.588234
Exp6,298,298,76
